,Timestamp,mode,Data,AX,AY,AZ,fAX,fAY,fAZ
0,18:17:58:418,RX,1799643,32000000,-288000000,-224000000,2453399,-0.454532,2579186
1,18:17:58:509,RX,1799734,-96000000,-32000000,-32000000,2290591,-0.49844,2506613
2,18:17:58:599,RX,1799824,64000000,-64000000,64000000,2392669,-0.58676,2635491
3,18:17:58:688,RX,1799914,-32000000,-32000000,-64000000,2335802,-0.630445,2495957
4,18:17:58:777,RX,1800004,-32000000,-32000000,64000000,2279083,-0.674036,2624648
5,18:17:58:871,RX,1800094,32000000,-32000000,-160000000,2328131,-0.717533,2284667
6,18:17:58:958,RX,1800184,-32000000,-64000000,0,2271540,-0.805336,2279885
7,18:17:59:051,RX,1800274,64000000,32000000,32000000,2373204,-0.759825,2341962
8,18:17:59:182,RX,1800364,-64000000,160000000,96000000,2263936,-0.536965,2537296
9,18:17:59:321,RX,1800499,64000000,320000000,64000000,2365537,-0.091797,2665455
10,18:17:59:409,RX,1800634,0,-192000000,128000000,2361646,-0.359657,2926573
11,18:17:59:498,RX,1800724,96000000,128000000,32000000,2515441,-0.18006,2987169
12,18:17:59:588,RX,1800814,0,64000000,-96000000,2511309,-0.090157,2781166
13,18:17:59:678,RX,1800904,32000000,32000000,-96000000,2559676,-0.04521,2575613
14,18:17:59:769,RX,1800994,-96000000,96000000,96000000,2398188,0.089211,2769997
15,18:17:59:862,RX,1801084,0,160000000,-160000000,2394258,0.313133,2431401
16,18:17:59:947,RX,1801174,-64000000,32000000,0,2285609,0.357583,2426337
17,18:18:00:041,RX,1801264,-64000000,-224000000,32000000,2177172,0.043097,2487803
18,18:18:00:128,RX,1801354,0,-32000000,96000000,2173611,-0.001957,2681871
19,18:18:00:218,RX,1801444,-64000000,32000000,160000000,2065563,0.043004,3008290
20,18:18:00:308,RX,1801534,96000000,-64000000,-128000000,2218892,-0.046904,2736173
21,18:18:00:398,RX,1801624,32000000,0,-64000000,2267515,-0.046839,2597481
22,18:18:00:488,RX,1801714,64000000,32000000,-64000000,2368200,-0.001917,2459180
23,18:18:00:578,RX,1801804,-32000000,32000000,-96000000,2312168,0.042907,2254866
24,18:18:00:668,RX,1801894,32000000,0,0,2360524,0.042847,2250187
25,18:18:00:803,RX,1802028,64000000,0,-64000000,2460819,0.042787,2113004
26,18:18:00:893,RX,1802119,-96000000,32000000,64000000,2300674,0.08739,2
27,18:18:00:983,RX,1802209,0,0,96000000,2296931,0.087268,2434896
28,18:18:01:073,RX,1802299,0,-64000000,64000000,2293200,-0.001987,2562152
29,18:18:01:163,RX,1802389,-32000000,-96000000,-32000000,2237580,-0.135669,2490771
30,18:18:01:252,RX,1802479,-32000000,-160000000,32000000,2182101,-0.358405,2551632
31,18:18:01:342,RX,1802569,0,128000000,-32000000,2178569,-0.179244,2480476
32,18:18:01:432,RX,1802659,32000000,-64000000,-64000000,2226770,-0.268428,2343752
33,18:18:01:523,RX,1802749,-32000000,64000000,96000000,2171505,-0.17863,2536226
34,18:18:01:613,RX,1802839,-64000000,32000000,0,2064758,-0.133674,2531014
35,18:18:01:703,RX,1802929,0,0,64000000,2061429,-0.133487,2657063
36,18:18:01:793,RX,1803019,-32000000,-64000000,-32000000,2006584,-0.222522,2586053
37,18:18:01:883,RX,1803109,-32000000,32000000,-32000000,1951878,-0.177607,2515285
38,18:18:01:974,RX,1803199,-32000000,-64000000,-32000000,1897311,-0.266504,2444757
39,18:18:02:064,RX,1803289,-96000000,-96000000,64000000,1740117,-0.399833,2570368
40,18:18:02:162,RX,1803379,32000000,32000000,-64000000,1788723,-0.354686,2434633
41,18:18:02:246,RX,1803469,-64000000,0,-64000000,1683155,-0.354192,2299271
42,18:18:02:336,RX,1803559,128000000,64000000,32000000,1885790,-0.264709,2359744
43,18:18:02:424,RX,1803649,32000000,-32000000,-32000000,1934143,-0.308832,2289886
44,18:18:02:514,RX,1803739,32000000,-96000000,-64000000,1982370,-0.441773,2155290
45,18:18:02:604,RX,1803829,-64000000,0,-64000000,1876638,-0.441159,2021063
47,18:18:02:694,RX,1803919,0,0,0,1873631,-0.440546,2016965
48,18:18:02:784,RX,1804010,-128000000,-64000000,0,1665901,-0.528651,2012884
49,18:18:02:874,RX,1804099,-32000000,-64000000,96000000,1612000,-0.616622,2202692
50,18:18:02:966,RX,1804189,-96000000,64000000,-64000000,1455862,-0.527074,2069014
51,18:18:03:054,RX,1804279,-96000000,-32000000,0,1299919,-0.570686,2064839
52,18:18:03:145,RX,1804369,0,0,32000000,1297838,-0.569896,2125124
53,18:18:03:233,RX,1804459,-64000000,96000000,64000000,1193480,-0.436363,2249553
54,18:18:03:324,RX,1804549,64000000,64000000,-32000000,1293827,-0.347214,2180731
55,18:18:03:413,RX,1804639,32000000,32000000,32000000,1342869,-0.302465,2240572
56,18:18:03:504,RX,1804729,0,96000000,-32000000,1340727,-0.169339,2171956
57,18:18:03:594,RX,1804819,288000000,160000000,-32000000,1797401,0.052193,2103567
58,18:18:03:684,RX,1804909,96000000,-160000000,0,1948093,-0.169579,2099363
59,18:18:03:775,RX,1804999,96000000,-128000000,64000000,2098586,-0.347024,2222840
60,18:18:03:864,RX,1805089,4832000000,-2784000000,-1504000000,9829102,-4215586,-0.779451
61,18:18:03:955,RX,1805179,-480000000,-768000000,-32000000,8970878,-5334504,-0.843425
62,18:18:04:045,RX,1805269,-160000000,224000000,-96000000,8672453,-4993911,-1038133
63,18:18:04:133,RX,1805359,64000000,64000000,-256000000,8770326,-4891129,-1559754
64,18:18:04:225,RX,1805449,-768000000,-288000000,96000000,7397160,-5312836,-1359552
65,18:18:04:313,RX,1805539,256000000,-96000000,128000000,7842665,-5448482,-1094122
66,18:18:04:404,RX,1805629,0,-160000000,160000000,7828566,-5679725,-0.763402
67,18:18:04:495,RX,1805719,96000000,128000000,-160000000,7986813,-5479393,-1090688
68,18:18:04:583,RX,1805809,192000000,32000000,-256000000,8317061,-5423161,-1615202
69,18:18:04:675,RX,1805899,-448000000,-480000000,256000000,7496573,-6134657,-1083517
70,18:18:04:764,RX,1805989,-256000000,-288000000,160000000,7019331,-6560602,-0.750041
73,18:18:04:944,RX,1806169,-32000000,192000000,-32000000,7225853,-6394737,-1144253
74,18:18:05:034,RX,1806259,256000000,-128000000,-32000000,7678072,-6579760,-1208181
75,18:18:05:124,RX,1806349,-352000000,32000000,32000000,7022198,-6521008,-1139479
76,18:18:05:213,RX,1806439,288000000,32000000,0,7537302,-6462389,-1137125
77,18:18:05:303,RX,1806529,-96000000,-160000000,192000000,7346776,-6695857,-0.73893
78,18:18:05:408,RX,1806619,0,32000000,64000000,7333254,-6636925,-0.605218
79,18:18:05:483,RX,1806709,-224000000,480000000,-256000000,6908187,-5896364,-1132305
80,18:18:05:574,RX,1806799,-128000000,1888000000,544000000,6659609,-2990656,-0.003848
81,18:18:05:663,RX,1806889,-256000000,-736000000,928000000,6175231,-4156017,1934064
82,18:18:05:753,RX,1806981,160000000,288000000,-480000000,6459866,-3685488,0.911158
83,18:18:05:846,RX,1807069,352000000,-1568000000,-352000000,7100029,-6215502,0.1565
84,18:18:05:934,RX,1807159,-256000000,96000000,-320000000,6610144,-6045297,-0.531466
85,18:18:06:024,RX,1807249,-256000000,288000000,-160000000,6119516,-5555483,-0.87559
86,18:18:06:116,RX,1807339,-32000000,128000000,512000000,6048059,-5332075,0.232295
87,18:18:06:207,RX,1807429,256000000,384000000,-96000000,6516089,-4680165,0.022745
88,18:18:06:292,RX,1807519,96000000,-128000000,-128000000,6684168,-4887913,-0.25596
89,18:18:06:383,RX,1807609,-256000000,-288000000,-224000000,6190812,-5365222,-0.743232
90,18:18:06:473,RX,1807699,-480000000,-64000000,-416000000,5274612,-5464468,-1649647
91,18:18:06:567,RX,1807789,-512000000,32000000,288000000,4292227,-5401088,-1013554
92,18:18:06:656,RX,1807879,480000000,640000000,288000000,5203269,-4310273,-0.376588
93,18:18:06:745,RX,1807978,512000000,-928000000,288000000,6181192,-5888883,0.261234
94,18:18:06:834,RX,1808059,-32000000,128000000,-256000000,6106915,-5656241,-0.30756
95,18:18:06:925,RX,1808149,-192000000,640000000,-64000000,5721976,-4533319,-0.449339
96,18:18:07:016,RX,1808239,320000000,448000000,-1248000000,6333872,-3737513,-3223735
97,18:18:07:103,RX,1808329,-192000000,-448000000,-960000000,5946051,-4524448,-5399615
98,18:18:07:195,RX,1808419,128000000,-800000000,32000000,6185192,-5943482,-5313135
99,18:18:07:284,RX,1808509,-1408000000,256000000,-896000000,3413053,-5469631,-7369485
100,18:18:07:376,RX,1808599,0,-32000000,-128000000,3406187,-5517787,-7652284
101,18:18:07:466,RX,1808689,-352000000,64000000,96000000,2692630,-5391764,-7409273
102,18:18:07:557,RX,1808779,-928000000,224000000,-96000000,0.814572,-4976092,-7616915
103,18:18:07:647,RX,1808869,-704000000,-96000000,1088000000,-0.631186,-5141489,-5050438
104,18:18:07:735,RX,1808959,608000000,-128000000,672000000,0.632245,-5364731,-3433568
105,18:18:07:828,RX,1809049,-1344000000,256000000,-896000000,-2187071,-4889512,-5588760
106,18:18:07:914,RX,1809139,-192000000,-7104000000,-14208000000,-2594881,-17841055,-40408520
107,18:18:08:007,RX,1809229,1600000000,1344000000,-4864000000,0.853895,-15009666,-55545891
108,18:18:08:140,RX,1809319,1824000000,1024000000,2624000000,4894076,-12795365,-46357346
112,18:18:08:320,RX,1809544,-1024000000,544000000,1440000000,2960668,-9879374,-38845547
113,18:18:08:409,RX,1809634,288000000,-256000000,-224000000,3626707,-10425580,-39534878
114,18:18:08:500,RX,1809724,-512000000,288000000,64000000,2417837,-9761517,-39149429
115,18:18:08:589,RX,1809814,608000000,-352000000,-1696000000,3848856,-10525908,-45307495
116,18:18:08:683,RX,1809904,7424000000,-5152000000,512000000,21553057,-22062080,-43175682
118,18:18:08:768,RX,1809994,-2080000000,2720000000,1312000000,15810439,-15293674,-37954277
119,18:18:08:863,RX,1810084,-928000000,-224000000,128000000,13130653,-15835678,-37300125
120,18:18:08:954,RX,1810174,512000000,0,-1312000000,14569680,-15794489,-42321510
121,18:18:09:041,RX,1810264,-128000000,960000000,640000000,14155530,-13262206,-39576229
122,18:18:09:130,RX,1810354,-64000000,160000000,-448000000,13928511,-12805008,-41235157
123,18:18:09:219,RX,1810444,672000000,544000000,288000000,15837456,-11334534,-39892448
124,18:18:09:308,RX,1810534,0,0,992000000,15791046,-11304347,-35673729
125,18:18:09:398,RX,1810624,-576000000,0,480000000,14061393,-11274314,-33530914
126,18:18:09:488,RX,1810714,576000000,-64000000,-352000000,15718334,-11414053,-34862331
127,18:18:09:578,RX,1810804,160000000,640000000,1632000000,16147268,-9690365,-27878721
128,18:18:09:668,RX,1810894,-224000000,-864000000,-608000000,15433405,-11974257,-30379442
129,18:18:09:757,RX,1810984,32000000,-352000000,-1312000000,15482740,-12896299,-35943939
130,18:18:09:847,RX,1811074,-1952000000,992000000,1184000000,9639064,-10160277,-30535545
131,18:18:09:937,RX,1811164,1216000000,128000000,-672000000,13351642,-9777613,-33435574
132,18:18:10:027,RX,1811254,0,-288000000,-160000000,13309692,-10548200,-34012463
133,18:18:10:117,RX,1811344,736000000,416000000,352000000,15573769,-9363523,-32256557
134,18:18:10:207,RX,1811434,-160000000,288000000,-672000000,15017541,-8532920,-35175728
135,18:18:10:297,RX,1811524,-96000000,128000000,0,14665714,-8150359,-35013912
136,18:18:10:387,RX,1811614,192000000,-1344000000,-736000000,15227170,-11893068,-38226040
137,18:18:10:488,RX,1811704,-384000000,-96000000,352000000,13962716,-12134316,-36421227
138,18:18:10:568,RX,1811794,448000000,256000000,-1472000000,15343989,-11366128,-43081623
139,18:18:10:657,RX,1811884,96000000,192000000,512000000,15602067,-10782054,-40444954
140,18:18:10:747,RX,1811977,-448000000,-480000000,896000000,14121016,-12131253,-35968903
141,18:18:10:837,RX,1812064,-736000000,32000000,480000000,11710188,-12003537,-33468639
142,18:18:10:928,RX,1812154,-256000000,1152000000,3424000000,10839721,-8641668,-16624147
143,18:18:11:017,RX,1812244,800000000,-480000000,2304000000,13411031,-10030631,-4599105
144,18:18:11:108,RX,1812334,-128000000,-480000000,320000000,12944545,-11424410,-2848519
145,18:18:11:197,RX,1812424,-64000000,-192000000,-160000000,12690842,-11963360,-3696945
146,18:18:11:290,RX,1812514,224000000,768000000,160000000,13386349,-9634034,-2815179
147,18:18:11:377,RX,1812604,-96000000,640000000,-832000000,13025982,-7669625,-7272181
148,18:18:11:467,RX,1812694,64000000,-896000000,-448000000,13193727,-10382412,-9667362
149,18:18:11:557,RX,1812784,608000000,-352000000,-1792000000,15146667,-11440890,-19385735
150,18:18:11:648,RX,1812874,-576000000,960000000,2080000000,13189156,-8419808,-7597112
151,18:18:11:749,RX,1812970,576000000,96000000,-1408000000,15068574,-8089810,-15743268
152,18:18:11:834,RX,1813054,-480000000,896000000,-960000000,13402389,-5235686,-21356295
154,18:18:12:008,RX,1813234,-160000000,160000000,-768000000,11904379,-3255898,-17210655
155,18:18:12:098,RX,1813324,-1920000000,160000000,3168000000,5347076,-2729814,2576472
156,18:18:12:188,RX,1813414,-64000000,128000000,416000000,5103462,-2308530,5290413
157,18:18:12:277,RX,1813504,64000000,-64000000,-992000000,5309925,-2507212,-1267082
158,18:18:12:367,RX,1813594,0,1760000000,-992000000,5291354,3157808,-7867131
159,18:18:12:457,RX,1813684,1024000000,-64000000,-864000000,8842117,2935082,-13644265
160,18:18:12:549,RX,1813774,384000000,160000000,672000000,10171663,3454953,-8970435
161,18:18:12:638,RX,1813864,-1728000000,-96000000,1088000000,3987506,3125825,-1442199
163,18:18:12:729,RX,1813954,256000000,192000000,-544000000,4911896,3750043,-5220828
164,18:18:12:817,RX,1814044,-96000000,-640000000,-1216000000,4541248,1621511,-13685178
165,18:18:12:907,RX,1814134,-2208000000,-224000000,2976000000,-3571909,0.86842,7569130
166,18:18:12:997,RX,1814224,-544000000,672000000,960000000,-5633400,3111145,14691368
167,18:18:13:132,RX,1814314,960000000,-800000000,-1664000000,-1924430,0.400539,1995809
168,18:18:13:222,RX,1814449,768000000,1696000000,-3008000000,1078186,6195461,-21349884
169,18:18:13:320,RX,1814539,2304000000,3008000000,-1568000000,10161637,16765057,-33964214
170,18:18:13:402,RX,1814629,832000000,1056000000,-2528000000,13538597,20629549,-54759693
171,18:18:13:492,RX,1814719,-2880000000,-480000000,2208000000,1503796,18736404,-35123409
172,18:18:13:583,RX,1814809,992000000,1696000000,-1728000000,5842783,25118156,-50341034
173,18:18:13:672,RX,1814899,832000000,1568000000,1312000000,9517144,31161764,-37796612
174,18:18:13:762,RX,1814989,-32000000,-928000000,1184000000,9330289,27304281,-26348078
175,18:18:13:854,RX,1815079,2048000000,608000000,-256000000,18472111,29674763,-28531595
178,18:18:13:942,RX,1815169,5376000000,-1216000000,-1344000000,43359787,24551842,-40977566
179,18:18:14:033,RX,1815259,4576000000,-1728000000,-384000000,66552414,17195797,-44276340
180,18:18:14:167,RX,1815349,384000000,1312000000,-1472000000,68314148,22796682,-57968075
181,18:18:14:257,RX,1815484,-480000000,-1088000000,-2560000000,65268867,17889101,-82406410
182,18:18:14:348,RX,1815574,-7744000000,-3840000000,3104000000,21666151,0.544339,-50057880
183,18:18:14:437,RX,1815664,1216000000,4448000000,-128000000,29326735,21978743,-50890587
184,18:18:14:527,RX,1815754,1664000000,3968000000,-4128000000,39992111,42579990,-94054977
185,18:18:14:618,RX,1815844,2432000000,-1824000000,1792000000,56001060,32124832,-72703568
186,18:18:14:709,RX,1815934,-704000000,-1824000000,-9056000000,50708393,21402414,-177011261
187,18:18:14:800,RX,1816024,1408000000,3456000000,-8160000000,60236912,41857311,-284880310
188,18:18:14:888,RX,1816114,-608000000,-1152000000,4288000000,55452877,34306892,-214329956
189,18:18:14:984,RX,1816204,-3296000000,-352000000,-1376000000,31313641,31821495,-233567383
190,18:18:15:069,RX,1816294,-480000000,-3712000000,5568000000,27413960,7704994,-136898499
191,18:18:15:159,RX,1816384,-1600000000,-2528000000,8864000000,14970960,-9731523,27425753
192,18:18:15:248,RX,1816474,1664000000,352000000,-3520000000,27887630,-7136714,-47384491
193,18:18:15:338,RX,1816564,-4128000000,-3232000000,-4224000000,-5468705,-30269840,-139629211
194,18:18:15:430,RX,1816654,-1088000000,-1856000000,-10560000000,-14798487,-44105518,-383169830
196,18:18:15:607,RX,1816834,416000000,-3488000000,7552000000,-42219841,-61200462,-254079010
197,18:18:15:698,RX,1816924,11200000000,3040000000,-8032000000,62047176,-35108627,-504356781
198,18:18:15:788,RX,1817014,3104000000,4448000000,3232000000,96215408,4594525,-370406586
199,18:18:15:882,RX,1817104,6144000000,2656000000,-12032000000,167430420,29936642,-803052246
200,18:18:16:014,RX,1817194,-640000000,-3456000000,-5504000000,156911438,-4799127,-1008724426
201,18:18:16:106,RX,1817329,-1280000000,-512000000,5696000000,138137985,-10148493,-702464172
202,18:18:16:199,RX,1817419,64000000,-6048000000,-2048000000,137154739,-73796608,-768734558
203,18:18:16:288,RX,1817509,832000000,2144000000,-4512000000,146262726,-47900444,-948944824
204,18:18:16:383,RX,1817599,-7168000000,-15136000000,10176000000,50330482,-229674896,-401589081
205,18:18:16:466,RX,1817689,6144000000,2080000000,-4512000000,140588303,-194011520,-634794739
206,18:18:16:554,RX,1817779,-3840000000,-7168000000,4352000000,75524452,-304879303,-346320312
207,18:18:16:644,RX,1817869,-1888000000,-7520000000,-1440000000,41475842,-433253479,-411735565
208,18:18:16:737,RX,1817967,-2048000000,3008000000,2560000000,4486881,-364588043,-240564026
209,18:18:16:826,RX,1818049,-896000000,480000000,2304000000,-11819429,-346951721,-94216949
210,18:18:16:916,RX,1818139,-736000000,3680000000,-3456000000,-24927658,-263220184,-285824158
211,18:18:17:005,RX,1818229,1120000000,8160000000,-3232000000,-4282526,-78130714,-454757843
212,18:18:17:097,RX,1818319,320000000,-6016000000,-10720000000,1590450,-226772110,-1042370483
213,18:18:17:186,RX,1818409,3840000000,3648000000,-11616000000,70304970,-121212997,-1724814819
214,18:18:17:276,RX,1818499,-1152000000,-1280000000,-4064000000,47189266,-154257858,-1894453735
215,18:18:17:367,RX,1818589,-2336000000,-2080000000,-512000000,1895160,-208853546,-1796911865
216,18:18:17:454,RX,1818679,-2112000000,2592000000,6784000000,-39374039,-128748245,-1216791138
217,18:18:17:548,RX,1818769,544000000,-5024000000,1184000000,-27740152,-272262268,-1040585327
218,18:18:17:635,RX,1818859,-3008000000,-3616000000,-1504000000,-86678093,-376531891,-1073684692
219,18:18:17:727,RX,1818949,-1632000000,1472000000,4704000000,-118395470,-317013306,-685193665
220,18:18:17:812,RX,1819039,-32000000,352000000,-1088000000,-116605293,-295397888,-713299805
221,18:18:17:904,RX,1819129,1184000000,2176000000,-6656000000,-90158241,-217045547,-1103828369
222,18:18:17:997,RX,1819219,3424000000,480000000,-2784000000,-18339474,-194601105,-1218904053
223,18:18:18:084,RX,1819309,320000000,-672000000,1312000000,-11097267,-209694580,-1051581543
224,18:18:18:176,RX,1819399,-1376000000,-64000000,3232000000,-39890419,-205188141,-773375366
225,18:18:18:263,RX,1819489,-640000000,-768000000,-96000000,-52619686,-222121735,-728758789
226,18:18:18:361,RX,1819579,-832000000,32000000,608000000,-68998398,-214618088,-645102661
227,18:18:18:444,RX,1819669,96000000,-1568000000,1216000000,-65550491,-253625854,-532738464
228,18:18:18:534,RX,1819759,288000000,-576000000,352000000,-58290314,-262894592,-480599152
229,18:18:18:624,RX,1819849,-64000000,384000000,-1248000000,-58405998,-244701935,-524019653
230,18:18:18:715,RX,1819939,128000000,128000000,-288000000,-54703770,-234378876,-511197052
231,18:18:18:810,RX,1820029,32000000,-736000000,-1024000000,-53009102,-247996292,-537739563
232,18:18:18:894,RX,1820119,1120000000,-480000000,-2144000000,-30483322,-254187881,-617557983
233,18:18:18:983,RX,1820209,1024000000,-672000000,-1696000000,-10158054,-265097443,-670171143
234,18:18:19:073,RX,1820299,704000000,224000000,800000000,3626420,-252550171,-600378296
236,18:18:19:253,RX,1820479,1792000000,-1120000000,384000000,45359314,-256958527,-465629150
237,18:18:19:344,RX,1820569,-928000000,192000000,992000000,26584114,-245834351,-400134155
238,18:18:19:478,RX,1820659,672000000,-704000000,-480000000,39031181,-257009216,-403664124
239,18:18:19:569,RX,1820794,-736000000,4032000000,1920000000,24181580,-153975830,-305158173
240,18:18:19:658,RX,1820884,-736000000,832000000,512000000,9673020,-128912048,-270446777
241,18:18:19:748,RX,1820974,480000000,-160000000,-2592000000,18612776,-129697540,-366525848
242,18:18:19:838,RX,1821064,288000000,-2080000000,-736000000,23684029,-177789810,-381862579
243,18:18:19:928,RX,1821154,0,-224000000,-448000000,23244097,-178944168,-384517212
244,18:18:20:018,RX,1821244,-1248000000,864000000,-224000000,0.050567,-153502747,-378315125
245,18:18:20:108,RX,1821334,-2048000000,64000000,960000000,-37561951,-148217957,-328374939
246,18:18:20:198,RX,1821424,192000000,576000000,64000000,-33255672,-130965668,-313896027
247,18:18:20:288,RX,1821514,672000000,-1216000000,-928000000,-20211096,-156568954,-335915802
248,18:18:20:379,RX,1821604,704000000,416000000,1120000000,-6877083,-143089966,-284921173
249,18:18:20:468,RX,1821694,192000000,-1344000000,-1216000000,-3230479,-171019608,-317314911
250,18:18:20:566,RX,1821784,1472000000,544000000,-704000000,23435991,-154387054,-330549805
251,18:18:20:648,RX,1821874,224000000,-768000000,2432000000,27100193,-168531113,-238442993
252,18:18:20:738,RX,1821975,-736000000,832000000,-32000000,13354949,-145717697,-231426498
253,18:18:20:829,RX,1822054,-352000000,-1760000000,640000000,6793591,-182408661,-202668015
254,18:18:20:919,RX,1822144,-512000000,-256000000,-640000000,-2424669,-184095734,-216875183
255,18:18:21:010,RX,1822234,-352000000,-256000000,704000000,-8589914,-185709503,-187655487
256,18:18:21:099,RX,1822324,-576000000,1120000000,320000000,-18491100,-157007935,-171764252
257,18:18:21:188,RX,1822414,-32000000,-608000000,608000000,-18725368,-166955963,-147863098
258,18:18:21:278,RX,1822504,-224000000,-480000000,-32000000,-22225441,-173771698,-144365189
259,18:18:21:369,RX,1822594,-544000000,-256000000,96000000,-31008211,-175534592,-137305374
260,18:18:21:458,RX,1822684,384000000,-96000000,-512000000,-24067732,-173862549,-148046509
261,18:18:21:549,RX,1822774,-448000000,-256000000,-1120000000,-31097757,-175556396,-175329712
262,18:18:21:638,RX,1822864,288000000,320000000,-352000000,-25849104,-165527359,-180244690
263,18:18:21:727,RX,1822954,224000000,640000000,-64000000,-21780602,-149393326,-177087479
264,18:18:21:818,RX,1823044,288000000,1312000000,-704000000,-16792606,-120244530,-191051590
265,18:18:21:908,RX,1823134,896000000,1024000000,-800000000,-2239808,-97227005,-206934494
266,18:18:22:045,RX,1823224,-1056000000,800000000,224000000,-19073496,-79137642,-195850372
267,18:18:22:133,RX,1823359,288000000,224000000,864000000,-14145042,-73041397,-169050140
268,18:18:22:223,RX,1823449,64000000,-1408000000,32000000,-12903185,-99515182,-163989151
269,18:18:22:316,RX,1823539,-352000000,32000000,-224000000,-18215872,-96890884,-165468475
270,18:18:22:403,RX,1823629,-576000000,224000000,64000000,-26877413,-90596794,-159941467
271,18:18:22:493,RX,1823719,-64000000,576000000,-384000000,-27451290,-77692703,-165234848
272,18:18:22:586,RX,1823809,-416000000,1824000000,-128000000,-33370739,-41106316,-164371719
273,18:18:22:675,RX,1823899,-640000000,1632000000,-1664000000,-42543583,-8347621,-198371414
275,18:18:22:764,RX,1823989,-832000000,1568000000,-1952000000,-54443665,22916737,-238387802
278,18:18:22:944,RX,1824169,-896000000,-256000000,128000000,-68057404,5601777,-223982971
279,18:18:23:080,RX,1824259,-128000000,32000000,64000000,-68950729,6119170,-217553253
280,18:18:23:169,RX,1824394,672000000,192000000,192000000,-58057663,9694172,-208558578
