,Timestamp,mode,Data,AX,AY,AZ,fAX,fAY,fAZ
281,18:18:23:259,RX,1824484,-544000000,-128000000,160000000,-65201027,7086428,-200574707
282,18:18:23:398,RX,1824574,448000000,-928000000,-96000000,-57695053,-10340676,-198341400
283,18:18:23:484,RX,1824709,-448000000,64000000,160000000,-63378193,-8955584,-190833313
284,18:18:23:577,RX,1824799,160000000,96000000,192000000,-60147652,-7033048,-182921539
285,18:18:23:666,RX,1824889,0,-384000000,-64000000,-59286407,-13827949,-180495560
286,18:18:23:754,RX,1824979,288000000,-576000000,352000000,-54378063,-23855494,-169825119
287,18:18:23:894,RX,1825069,-64000000,224000000,-64000000,-54513077,-19463964,-167724487
288,18:18:23:982,RX,1825204,416000000,-224000000,-256000000,-48001015,-23042206,-169446213
289,18:18:24:114,RX,1825294,-768000000,352000000,256000000,-57921230,-16567944,-161292953
290,18:18:24:204,RX,1825429,288000000,-64000000,960000000,-53153103,-17378790,-140032547
291,18:18:24:294,RX,1825519,-192000000,544000000,288000000,-55053806,-7934560,-131892578
292,18:18:24:394,RX,1825609,-352000000,-576000000,-96000000,-59074856,-17436924,-131217117
293,18:18:24:477,RX,1825699,-768000000,-384000000,32000000,-68601891,-23535135,-128200150
294,18:18:24:565,RX,1825789,-960000000,-1536000000,1376000000,-80587624,-48463497,-100813019
295,18:18:24:658,RX,1825879,-224000000,-1120000000,736000000,-82523827,-66354927,-85407646
296,18:18:24:743,RX,1825969,672000000,832000000,384000000,-72444305,-51290569,-76782860
297,18:18:24:836,RX,1826059,-32000000,-864000000,-128000000,-71903206,-64930771,-77715454
298,18:18:24:924,RX,1826149,448000000,480000000,-224000000,-65033798,-55792076,-80334084
299,18:18:25:017,RX,1826239,-128000000,32000000,-640000000,-65863335,-54328537,-90204727
300,18:18:25:105,RX,1826329,-160000000,-224000000,288000000,-67088921,-57115475,-83577972
301,18:18:25:195,RX,1826419,-1280000000,128000000,0,-82706100,-54114010,-82128075
302,18:18:25:289,RX,1826509,-800000000,-800000000,192000000,-92042732,-66058212,-77445946
303,18:18:25:421,RX,1826599,-384000000,-1696000000,736000000,-95847267,-92124908,-63711918
304,18:18:25:513,RX,1826734,256000000,128000000,384000000,-91295189,-88548874,-56159466
305,18:18:25:598,RX,1826824,0,544000000,-64000000,-90121033,-78393288,-56290680
306,18:18:25:691,RX,1826914,-192000000,0,-352000000,-91417007,-77139153,-61158733
307,18:18:25:779,RX,1827004,-32000000,128000000,-96000000,-90669174,-73904022,-61726295
308,18:18:25:872,RX,1827094,384000000,192000000,-192000000,-84762222,-69759033,-63815857
309,18:18:25:960,RX,1827184,64000000,192000000,-224000000,-82916588,-65720253,-66351097
310,18:18:26:050,RX,1827274,-96000000,32000000,128000000,-83077393,-64227745,-63313469
311,18:18:26:140,RX,1827364,-64000000,256000000,0,-82845703,-59401123,-62335403
312,18:18:26:231,RX,1827454,32000000,64000000,64000000,-81467171,-57557220,-60411072
313,18:18:26:320,RX,1827544,192000000,-32000000,64000000,-78216232,-57180042,-58539841
314,18:18:26:408,RX,1827634,-128000000,128000000,160000000,-78804260,-54485516,-55293610
315,18:18:26:501,RX,1827724,-128000000,-320000000,-128000000,-79379128,-58307465,-56362377
316,18:18:26:588,RX,1827814,-256000000,32000000,96000000,-81421143,-57019272,-54151966
317,18:18:26:679,RX,1827904,-128000000,-32000000,0,-81955368,-56666775,-53375259
319,18:18:26:862,RX,1828084,224000000,-32000000,96000000,-78678490,-56429092,-49199303
320,18:18:26:949,RX,1828174,-192000000,224000000,64000000,-79944069,-52634148,-47631973
321,18:18:27:040,RX,1828264,-224000000,320000000,-192000000,-81538689,-47631226,-49607960
322,18:18:27:129,RX,1828354,-224000000,-128000000,0,-83102837,-48703777,-48936230
323,18:18:27:219,RX,1828444,-32000000,-64000000,-224000000,-82546288,-48905540,-51277355
324,18:18:27:314,RX,1828534,-32000000,32000000,128000000,-82001175,-47851929,-48903347
325,18:18:27:399,RX,1828624,320000000,-96000000,64000000,-77707802,-48471874,-47422588
326,18:18:27:489,RX,1828714,-96000000,-32000000,64000000,-77902634,-48262283,-45976952
327,18:18:27:580,RX,1828804,-64000000,160000000,64000000,-77756058,-45644745,-44565250
328,18:18:27:668,RX,1828894,-128000000,192000000,-64000000,-78280388,-42682858,-44812096
329,18:18:27:759,RX,1828984,128000000,-128000000,32000000,-76147835,-43738049,-43848358
330,18:18:27:851,RX,1829074,32000000,-128000000,32000000,-75036713,-44769192,-42907078
331,18:18:27:943,RX,1829164,-224000000,96000000,32000000,-76554863,-43064541,-41987499
332,18:18:28:029,RX,1829254,-32000000,-32000000,0,-76104042,-42931789,-41477547
333,18:18:28:122,RX,1829344,-96000000,-96000000,-32000000,-76303513,-43561089,-41363724
334,18:18:28:208,RX,1829434,32000000,128000000,-256000000,-75228035,-41548401,-43911297
335,18:18:28:301,RX,1829524,-256000000,192000000,160000000,-77009308,-38831089,-41509262
336,18:18:28:389,RX,1829614,-64000000,64000000,-96000000,-76881912,-37642960,-42146236
337,18:18:28:482,RX,1829704,-160000000,160000000,-96000000,-77688156,-35380848,-42769161
338,18:18:28:570,RX,1829794,-224000000,448000000,416000000,-79096062,-29889572,-37517693
339,18:18:28:660,RX,1829884,32000000,480000000,-288000000,-78034142,-24107473,-40378193
340,18:18:28:750,RX,1829974,-96000000,896000000,160000000,-78204620,-13686520,-38104511
341,18:18:28:840,RX,1830064,128000000,-288000000,1152000000,-76265671,-16814434,-24699053
342,18:18:28:932,RX,1830154,1184000000,704000000,416000000,-64477776,-8643790,-19674759
343,18:18:29:020,RX,1830244,-928000000,-1184000000,-928000000,-72679665,-22005228,-30002823
344,18:18:29:113,RX,1830334,-128000000,32000000,64000000,-73209068,-21384092,-28927006
345,18:18:29:198,RX,1830424,160000000,864000000,928000000,-70996048,-11305976,-18079233
346,18:18:29:291,RX,1830514,1120000000,480000000,160000000,-59748692,-5679704,-16045380
347,18:18:29:383,RX,1830604,256000000,-832000000,-320000000,-56725079,-15126188,-19489748
348,18:18:29:470,RX,1830694,576000000,-320000000,96000000,-50686028,-18628403,-18187922
349,18:18:29:559,RX,1830784,320000000,32000000,320000000,-47137535,-18049952,-14409673
350,18:18:29:651,RX,1830874,-96000000,224000000,-192000000,-47604252,-15312932,-16384922
351,18:18:29:742,RX,1830964,-416000000,-160000000,-192000000,-51093113,-16938456,-18323502
352,18:18:29:829,RX,1831054,128000000,0,-160000000,-49400677,-16749731,-19875738
353,18:18:29:923,RX,1831144,32000000,96000000,-160000000,-48635937,-15506930,-21398586
354,18:18:30:009,RX,1831234,32000000,128000000,-128000000,-47884220,-13938861,-22547834
355,18:18:30:100,RX,1831324,160000000,96000000,32000000,-45961082,-12747193,-21964809
356,18:18:30:189,RX,1831414,96000000,32000000,-64000000,-44654476,-12266319,-22409822
357,18:18:30:280,RX,1831504,-288000000,96000000,32000000,-46880039,-11114191,-21839363
358,18:18:30:371,RX,1831594,160000000,-64000000,-192000000,-44996086,-11672249,-23606804
359,18:18:30:459,RX,1831684,32000000,96000000,-64000000,-44298401,-10546764,-24023449
361,18:18:30:638,RX,1831864,0,-64000000,-96000000,-44363983,-12958903,-21923407
362,18:18:30:730,RX,1831976,0,32000000,-32000000,-43971291,-12500200,-22025007
363,18:18:30:821,RX,1832044,96000000,160000000,-32000000,-42742115,-10756454,-22124599
364,18:18:30:911,RX,1832134,0,0,64000000,-42369003,-10648440,-21273048
365,18:18:31:001,RX,1832224,32000000,32000000,-96000000,-41724884,-10224345,-22005920
366,18:18:31:092,RX,1832314,-64000000,-64000000,128000000,-41916435,-10754271,-20546894
367,18:18:31:183,RX,1832404,32000000,0,-64000000,-41285938,-10649217,-20966711
368,18:18:31:268,RX,1832494,0,0,32000000,-40936241,-10546173,-20459440
369,18:18:31:361,RX,1832584,64000000,0,-32000000,-40054161,-10445084,-20569033
370,18:18:31:448,RX,1832674,32000000,-64000000,-32000000,-39452282,-10953664,-20676588
371,18:18:31:542,RX,1832764,-32000000,64000000,0,-39390461,-10247819,-20483810
372,18:18:31:630,RX,1832854,96000000,32000000,32000000,-38276367,-9853094,-19998798
373,18:18:31:723,RX,1832944,64000000,96000000,-32000000,-37439388,-8872435,-20108803
374,18:18:31:812,RX,1833034,32000000,0,-64000000,-36874599,-8790821,-20507553
375,18:18:31:899,RX,1833124,128000000,0,96000000,-35542572,-8710681,-19457703
376,18:18:31:993,RX,1833214,-32000000,64000000,96000000,-35514088,-8053701,-18424223
377,18:18:32:079,RX,1833304,96000000,64000000,0,-34465008,-7407557,-18260393
378,18:18:32:173,RX,1833394,-64000000,96000000,-32000000,-34699352,-6487176,-18381535
379,18:18:32:259,RX,1833484,128000000,-32000000,-160000000,-33417835,-6712712,-19619595
380,18:18:32:354,RX,1833574,32000000,96000000,128000000,-32904942,-5812224,-18336664
381,18:18:32:440,RX,1833664,0,-32000000,0,-32648632,-6040282,-18178215
382,18:18:32:529,RX,1833754,-32000000,32000000,-32000000,-32643616,-5711695,-18296671
383,18:18:32:619,RX,1833844,64000000,0,-32000000,-31901878,-5662744,-18413145
384,18:18:32:709,RX,1833934,-64000000,0,0,-32146824,-5614619,-18257915
386,18:18:32:843,RX,1834024,0,-32000000,-64000000,-31903210,-5836990,-18640455
387,18:18:32:933,RX,1834159,0,-96000000,0,-31663107,-6590911,-18485718
388,18:18:33:029,RX,1834249,0,-32000000,64000000,-31426441,-6801990,-17806381
389,18:18:33:115,RX,1834339,32000000,-64000000,64000000,-30955584,-7273470,-17137049
390,18:18:33:206,RX,1834429,0,-32000000,64000000,-30727186,-7475853,-16477512
391,18:18:33:297,RX,1834519,64000000,96000000,-32000000,-30032957,-6635384,-16602873
392,18:18:33:384,RX,1834609,-64000000,0,96000000,-30280546,-6581813,-15700486
393,18:18:33:473,RX,1834699,0,-32000000,-32000000,-30061277,-6785409,-15830359
394,18:18:33:566,RX,1834789,-32000000,96000000,64000000,-30075224,-5968243,-15199100
395,18:18:33:654,RX,1834879,96000000,-32000000,-32000000,-29174747,-6173987,-15331120
396,18:18:33:744,RX,1834969,96000000,0,-64000000,-28284821,-6125548,-15710700
397,18:18:33:834,RX,1835059,32000000,-64000000,-128000000,-27858194,-6576133,-16580532
398,18:18:33:924,RX,1835149,96000000,128000000,-32000000,-26986788,-5535284,-16699322
399,18:18:34:017,RX,1835239,0,32000000,-64000000,-26797785,-5246434,-17061049
400,18:18:34:109,RX,1835329,64000000,-32000000,-192000000,-26165962,-5450893,-18389965
401,18:18:34:197,RX,1835419,-64000000,-64000000,-32000000,-26427885,-5895187,-18492929
402,18:18:34:286,RX,1835509,32000000,64000000,-32000000,-26025871,-5368177,-18594376
405,18:18:34:469,RX,1835689,-192000000,-32000000,128000000,-26327244,-6002614,-16658756
406,18:18:34:554,RX,1835779,-544000000,-96000000,-64000000,-29841076,-6668205,-17008368
407,18:18:34:735,RX,1835869,288000000,-64000000,-32000000,-27676161,-7089851,-17118372
408,18:18:34:828,RX,1836049,96000000,-320000000,224000000,-26834181,-9376947,-15361487
409,18:18:34:962,RX,1836139,-32000000,-160000000,128000000,-26869198,-10476670,-14319489
410,18:18:35:052,RX,1836274,64000000,-64000000,320000000,-26257324,-10865780,-11900214
411,18:18:35:139,RX,1836364,160000000,192000000,384000000,-25009287,-9400052,-9037018
412,18:18:35:232,RX,1836454,256000000,32000000,32000000,-23131966,-9101881,-8740048
413,18:18:35:319,RX,1836544,96000000,320000000,-128000000,-22336956,-6746645,-9597586
414,18:18:35:412,RX,1836634,-224000000,-64000000,-64000000,-23676968,-7156129,-9986893
415,18:18:35:502,RX,1836724,256000000,0,-320000000,-21823439,-7105253,-12191983
416,18:18:35:592,RX,1836814,-384000000,320000000,64000000,-24221170,-4795811,-11650553
417,18:18:35:682,RX,1836904,576000000,192000000,160000000,-20245232,-3407164,-10437554
418,18:18:35:776,RX,1836994,160000000,64000000,-352000000,-19044979,-2933007,-12842498
419,18:18:35:864,RX,1837084,128000000,-64000000,-288000000,-18068800,-3360136,-14779387
420,18:18:35:949,RX,1837174,128000000,-128000000,32000000,-17102682,-4226917,-14450613
421,18:18:36:041,RX,1837264,-64000000,32000000,-160000000,-17411722,-3976105,-15467367
422,18:18:36:131,RX,1837354,32000000,-448000000,32000000,-17087942,-7031299,-15137126
423,18:18:36:221,RX,1837444,-288000000,-192000000,-192000000,-18853321,-8306463,-16360250
424,18:18:36:312,RX,1837534,-128000000,128000000,-64000000,-19563766,-7369779,-16688599
425,18:18:36:400,RX,1837624,-256000000,64000000,352000000,-21096115,-6881362,-14162494
426,18:18:36:492,RX,1837714,256000000,64000000,-384000000,-19303431,-6398901,-16697657
427,18:18:36:579,RX,1837804,160000000,-160000000,-672000000,-18144529,-7438796,-21191818
428,18:18:36:672,RX,1837894,320000000,608000000,-96000000,-15965281,-3287605,-21708002
429,18:18:36:767,RX,1837984,384000000,96000000,256000000,-13386912,-2614255,-19802095
430,18:18:36:848,RX,1838074,-32000000,-544000000,96000000,-13507080,-6268290,-19008410
431,18:18:36:985,RX,1838164,-192000000,-352000000,128000000,-14652479,-8611058,-18005400
432,18:18:37:078,RX,1838299,-1056000000,-256000000,832000000,-21315809,-10287582,-12228455
433,18:18:37:164,RX,1838389,0,160000000,544000000,-21177477,-9135699,-8410249
434,18:18:37:253,RX,1838479,-160000000,-352000000,864000000,-22072954,-11447160,-2396744
435,18:18:37:344,RX,1838569,320000000,256000000,128000000,-19874500,-9644009,-1488608
436,18:18:37:439,RX,1838659,384000000,128000000,224000000,-17277901,-8717319,0.074963
437,18:18:37:529,RX,1838749,288000000,32000000,0,-15312088,-8444278,0.074445
438,18:18:37:614,RX,1838839,192000000,-128000000,-64000000,-13977613,-9241296,-0.365729
439,18:18:37:705,RX,1838929,-160000000,-224000000,288000000,-14915401,-10666881,1604253
440,18:18:37:793,RX,1839019,96000000,32000000,64000000,-14205570,-10384322,2030045
441,18:18:37:887,RX,1839109,-256000000,32000000,288000000,-15746542,-10105245,3970695
442,18:18:37:975,RX,1839199,64000000,128000000,320000000,-15239103,-9201085,6112979
443,18:18:38:064,RX,1839289,-128000000,-128000000,160000000,-15953210,-9975910,7155622
444,18:18:38:292,RX,1839379,192000000,64000000,-32000000,-14641613,-9495423,6891307
447,18:18:38:424,RX,1839604,-576000000,0,-256000000,-18174549,-9434056,5127226
448,18:18:38:516,RX,1839739,192000000,-160000000,128000000,-16845413,-10401061,5950521
449,18:18:38:603,RX,1839829,-64000000,-96000000,64000000,-17142981,-10948944,6337830
450,18:18:38:703,RX,1839919,-128000000,32000000,160000000,-17838804,-10675329,7357450
451,18:18:38:784,RX,1840010,-224000000,352000000,-160000000,-19127592,-8377504,6250908
452,18:18:38:876,RX,1840099,-64000000,96000000,-256000000,-19407505,-7715620,4522606
453,18:18:38:963,RX,1840189,64000000,-512000000,-448000000,-18889975,-10899857,1544452
454,18:18:39:055,RX,1840279,-96000000,64000000,-448000000,-19366268,-10425169,-1421184
455,18:18:39:147,RX,1840369,-224000000,576000000,128000000,-20624416,-6726532,-0.565415
456,18:18:39:234,RX,1840459,96000000,352000000,160000000,-19908859,-4451989,0.492027
457,18:18:39:328,RX,1840549,-480000000,448000000,64000000,-22721073,-1580922,0.908863
458,18:18:39:414,RX,1840639,-736000000,1024000000,128000000,-27093988,4944086,1738634
459,18:18:39:506,RX,1840729,-608000000,-64000000,1248000000,-30683846,4499336,9843047
460,18:18:39:595,RX,1840819,256000000,-64000000,-544000000,-28902761,4059687,6176086
461,18:18:39:687,RX,1840909,-1088000000,-640000000,384000000,-35479263,-0.053314,8688525
462,18:18:39:776,RX,1840999,-736000000,320000000,32000000,-39893322,2003587,8843673
463,18:18:39:864,RX,1841089,-320000000,-64000000,-320000000,-41671669,1579427,6668543
464,18:18:39:955,RX,1841179,480000000,192000000,-192000000,-38362240,2796911,5354559
465,18:18:40:044,RX,1841269,64000000,-288000000,96000000,-37710270,0.942476,5952495
466,18:18:40:136,RX,1841359,-384000000,-256000000,416000000,-39906376,-0.695094,8644457
467,18:18:40:224,RX,1841449,-480000000,160000000,224000000,-42698868,0.327774,10060488
468,18:18:40:317,RX,1841539,-128000000,-96000000,-64000000,-43241413,-0.283446,9574628
469,18:18:40:405,RX,1841629,128000000,-32000000,-256000000,-42157307,-0.483808,7841183
470,18:18:40:495,RX,1841719,32000000,-32000000,-32000000,-41689194,-0.681779,7581456
471,18:18:40:590,RX,1841809,-160000000,0,192000000,-42432434,-0.67752,8776847
472,18:18:40:675,RX,1841899,96000000,-32000000,-32000000,-41566185,-0.871957,8513273
473,18:18:40:768,RX,1841989,32000000,-96000000,-96000000,-41107445,-1459194,7841515
474,18:18:40:853,RX,1842079,96000000,96000000,-64000000,-40256531,-0.860127,7381750
475,18:18:40:946,RX,1842169,-64000000,-96000000,0,-40403378,-1442491,7334743
476,18:18:41:036,RX,1842259,0,0,64000000,-40154915,-1433698,7693361
477,18:18:41:127,RX,1842349,96000000,0,64000000,-39322067,-1425012,8047868
478,18:18:41:222,RX,1842439,0,32000000,-96000000,-39082352,-1223716,7396152
479,18:18:41:307,RX,1842529,96000000,-32000000,-32000000,-38263214,-1408073,7150419
480,18:18:41:397,RX,1842619,-64000000,-128000000,-96000000,-38418758,-2162337,6510506
481,18:18:41:488,RX,1842709,0,-32000000,128000000,-38187847,-2339508,7261077
482,18:18:41:622,RX,1842799,160000000,0,128000000,-37002876,-2325691,8004222
483,18:18:41:709,RX,1842934,96000000,0,64000000,-36209259,-2312034,8347589
484,18:18:41:799,RX,1843024,32000000,32000000,32000000,-35803604,-2111725,8491901
485,18:18:41:888,RX,1843114,0,32000000,0,-35591644,-1913605,8440379
487,18:18:42:069,RX,1843294,192000000,64000000,-64000000,-33861580,-0.971664,8147109
488,18:18:42:162,RX,1843384,32000000,-32000000,-32000000,-33475964,-1149482,7907383
489,18:18:42:250,RX,1843474,-32000000,128000000,96000000,-33467361,-0.413113,8430695
490,18:18:42:339,RX,1843564,0,64000000,-64000000,-33273422,-0.046994,8002214
491,18:18:42:431,RX,1843654,-64000000,32000000,-160000000,-33450573,0.134361,7012780
492,18:18:42:518,RX,1843744,0,32000000,-32000000,-33258709,0.313789,6783600
493,18:18:42:609,RX,1843834,-96000000,0,96000000,-33616764,0.312031,7305044
494,18:18:42:701,RX,1843924,128000000,-64000000,0,-32698524,-0.046291,7262521
495,18:18:42:792,RX,1844014,-128000000,64000000,32000000,-33238659,0.309027,7405707
497,18:18:42:924,RX,1844104,96000000,96000000,-32000000,-32508930,0.837647,7178820
498,18:18:43:018,RX,1844239,-96000000,-128000000,32000000,-32866329,0.128479,7321026
499,18:18:43:103,RX,1844329,0,32000000,96000000,-32682125,0.303398,7826446
500,18:18:43:244,RX,1844419,-32000000,192000000,64000000,-32678322,1350398,8145350
501,18:18:43:331,RX,1844554,-32000000,-64000000,-128000000,-32674561,0.994055,7375941
502,18:18:43:423,RX,1844644,0,0,-64000000,-32494339,0.988657,6973749
503,18:18:43:511,RX,1844734,64000000,32000000,32000000,-31964682,1156151,7114177
504,18:18:43:600,RX,1844824,64000000,32000000,64000000,-31439800,1321948,7431752
505,18:18:43:733,RX,1844914,0,-128000000,32000000,-31268448,0.630089,7568302
506,18:18:43:837,RX,1845049,0,32000000,-64000000,-31098848,0.797451,7172533
507,18:18:43:915,RX,1845139,64000000,96000000,32000000,-30585497,1302988,7309267
508,18:18:44:006,RX,1845229,-32000000,32000000,-32000000,-30593105,1465438,7093855
509,18:18:44:094,RX,1845319,32000000,-32000000,-96000000,-30258192,1289162,6531550
510,18:18:44:183,RX,1845409,-32000000,64000000,-64000000,-30267473,1617974,6148152
511,18:18:44:273,RX,1845499,-32000000,-32000000,-64000000,-30276657,1442405,5768368
512,18:18:44:363,RX,1845589,-32000000,-96000000,32000000,-30285744,0.93582,5909819
513,18:18:44:453,RX,1845679,0,-32000000,64000000,-30126881,0.765148,6221547
514,18:18:44:543,RX,1845769,32000000,96000000,-64000000,-29802502,1256428,5846297
515,18:18:44:633,RX,1845859,-32000000,96000000,-64000000,-29813931,1743587,5474518
516,18:18:44:723,RX,1845949,160000000,32000000,-160000000,-28831858,1898658,4597173
517,18:18:44:813,RX,1846039,-64000000,0,0,-29013559,1888971,4572847
518,18:18:44:906,RX,1846129,-32000000,160000000,224000000,-29028921,2691612,5727917
519,18:18:44:993,RX,1846219,1024000000,-192000000,32000000,-23639837,1705170,5866090
520,18:18:45:083,RX,1846309,160000000,-448000000,-192000000,-22685219,-0.570642,4830353
521,18:18:45:173,RX,1846399,128000000,-32000000,-64000000,-21903112,-0.730311,4470523
522,18:18:45:263,RX,1846489,-256000000,128000000,64000000,-23115503,-0.079228,4780536
523,18:18:45:356,RX,1846579,192000000,160000000,0,-22001995,0.7284,4755740
524,18:18:45:444,RX,1846669,-64000000,192000000,-160000000,-22219196,1691613,3905502
525,18:18:45:544,RX,1846759,224000000,-224000000,-160000000,-20951315,0.556457,3061236
526,18:18:45:625,RX,1846849,352000000,128000000,-352000000,-19031319,1197113,1235779
527,18:18:45:718,RX,1846939,192000000,96000000,32000000,-17942450,1672504,1394248
528,18:18:45:806,RX,1847029,-32000000,32000000,-32000000,-18014914,1824109,1223008
529,18:18:45:898,RX,1847119,-160000000,0,160000000,-18743271,1815030,2033573
532,18:18:46:078,RX,1847299,96000000,192000000,-32000000,-16920158,4009673,1039099
533,18:18:46:164,RX,1847389,128000000,32000000,0,-16180769,4148148,1033838
534,18:18:46:258,RX,1847479,384000000,32000000,-128000000,-14143537,4285335,0.383779
535,18:18:46:344,RX,1847569,480000000,-64000000,96000000,-11620772,3950451,0.8643
536,18:18:46:436,RX,1847659,-288000000,-128000000,-160000000,-13038415,3305624,0.058386
537,18:18:46:524,RX,1847749,192000000,-64000000,32000000,-11986317,2977450,0.218122
538,18:18:46:616,RX,1847839,-64000000,-96000000,64000000,-12252932,2496545,0.535703
539,18:18:46:705,RX,1847929,-32000000,96000000,0,-12353741,2949547,0.533045
540,18:18:46:794,RX,1848019,0,96000000,32000000,-12290971,3399016,0.688377
541,18:18:46:886,RX,1848109,-64000000,96000000,160000000,-12552444,3844988,1471421
542,18:18:46:973,RX,1848199,-32000000,-64000000,0,-12650389,3519209,1464201
543,18:18:47:066,RX,1848289,-32000000,-32000000,64000000,-12747390,3349238,1769552
544,18:18:47:154,RX,1848379,-96000000,0,32000000,-13162818,3333276,1916628
545,18:18:47:245,RX,1848469,-32000000,-32000000,-64000000,-13256503,3165669,1597294
546,18:18:47:336,RX,1848559,-128000000,32000000,-128000000,-13824559,3301898,0.971667
547,18:18:47:424,RX,1848649,-64000000,-96000000,160000000,-14072302,2834681,1737654
548,18:18:47:527,RX,1848739,-32000000,96000000,-32000000,-14160474,3271834,1575418
549,18:18:47:603,RX,1848829,32000000,0,-64000000,-13934479,3256526,1261380
550,18:18:47:696,RX,1848919,-32000000,64000000,-64000000,-14022574,3539438,0.94993
551,18:18:47:786,RX,1849009,32000000,0,-64000000,-13799155,3523010,0.641038
552,18:18:47:875,RX,1849099,0,-32000000,-64000000,-13732430,3358880,0.334674
553,18:18:47:964,RX,1849189,0,32000000,32000000,-13666327,3490697,0.484235
554,18:18:48:057,RX,1849279,96000000,32000000,64000000,-13140825,3621382,0.783009
555,18:18:48:143,RX,1849369,-32000000,0,-32000000,-13230961,3604848,0.629328
556,18:18:48:280,RX,1849459,64000000,-64000000,-160000000,-12863462,3297572,-0.120651
557,18:18:48:372,RX,1849594,32000000,0,96000000,-12650667,3282632,0.327479
558,18:18:48:459,RX,1849684,32000000,32000000,-128000000,-12439692,3412163,-0.269168
559,18:18:48:552,RX,1849774,32000000,0,0,-12230516,3396833,-0.267919
560,18:18:48:639,RX,1849864,-32000000,0,-32000000,-12323216,3381639,-0.414468
561,18:18:48:730,RX,1849954,32000000,0,64000000,-12116271,3366579,-0.118162
562,18:18:48:819,RX,1850044,0,32000000,0,-12059914,3493540,-0.117621
563,18:18:48:909,RX,1850134,-32000000,-96000000,32000000,-12152256,3054081,0.02896
564,18:18:49:003,RX,1850224,96000000,32000000,128000000,-11653515,3181624,0.610724
565,18:18:49:089,RX,1850314,32000000,0,96000000,-11452701,3167658,1043506
