,Timestamp,AX,AY,AZ,fAX,fAY,fAZ
0,18:16:32:074,768,-608,352,6.215045,4.296308,-7.954152
1,18:16:32:294,704,-256,320,14.198598,2.22199,-5.066761
3,18:16:32:514,-512,-704,384,8.1642,-3.390279,-1.64914
4,18:16:32:606,768,192,256,16.868759,-1.828191,0.611687
5,18:16:32:878,-320,-672,-448,12.996037,-7.164129,-3.310493
6,18:16:33:057,768,-416,-736,21.634241,-10.436525,-9.717303
7,18:16:33:146,-672,224,-320,13.670837,-8.559854,-12.446036
8,18:16:33:234,-352,-256,800,9.463416,-10.534029,-5.319825
9,18:16:33:325,1312,192,-768,24.387087,-8.923052,-12.058162
10,18:16:33:462,480,768,-928,29.680975,-2.767453,-20.200974
11,18:16:33:549,256,-32,-320,32.303844,-3.000785,-22.89069
12,18:16:33:642,416,-384,320,36.719322,-6.019565,-19.823603
13,18:16:33:733,160,96,-448,38.132504,-5.211522,-23.645399
14,18:16:33:820,160,704,-896,39.517021,0.372903,-31.428434
15,18:16:33:912,224,-416,288,41.594353,-2.925833,-28.554897
16,18:16:34:000,864,256,-320,50.785179,-0.87379,-31.169777
17,18:16:34:092,448,416,-32,55.246605,2.420887,-31.177202
18,18:16:34:180,288,-384,-704,57.852108,-0.634228,-37.141483
19,18:16:34:272,-448,256,1056,52.226376,1.394289,-27.408304
20,18:16:34:360,0,-224,-288,51.646191,-0.382327,-29.757925
21,18:16:34:449,-672,-160,544,43.687302,-1.636219,-24.604391
22,18:16:34:542,-640,672,640,36.143238,3.630977,-18.620729
23,18:16:34:677,32,-480,-448,36.097408,-0.171375,-22.50255
24,18:16:34:769,-256,-224,576,32.901451,-1.934164,-17.094608
25,18:16:34:854,640,-640,672,39.51004,-6.942207,-10.850659
26,18:16:34:947,672,1632,-384,46.402687,5.982918,-14.247198
28,18:16:35:125,256,-1216,-2944,35.439465,-5.435409,-40.799149
29,18:16:35:214,512,-96,1344,40.675537,-6.175747,-27.718292
30,18:16:35:353,128,1920,1248,41.633511,9.470532,-15.453135
31,18:16:35:439,608,800,2336,47.789894,16.083574,7.504937
32,18:16:35:532,672,448,-3296,54.577278,19.722898,-25.923473
33,18:16:35:619,-512,-608,-416,48.407581,14.432978,-30.086569
34,18:16:35:712,-1056,-32,480,36.377434,14.040119,-24.658575
35,18:16:35:800,-864,480,800,26.463497,17.95302,-15.88788
36,18:16:35:938,960,1920,-3520,36.811649,33.938828,-53.365532
37,18:16:36:070,-1728,-992,320,17.106163,25.065697,-49.140759
38,18:16:36:206,128,-224,992,18.373434,22.886614,-37.405659
39,18:16:36:298,800,928,64,27.224133,30.775562,-36.252148
40,18:16:36:384,704,-64,-768,34.918869,29.941944,-44.498814
41,18:16:36:474,-480,320,-64,29.052755,32.475716,-44.719284
42,18:16:36:567,128,-192,-128,30.178642,30.520634,-45.650646
43,18:16:36:747,-544,96,128,23.70612,31.088522,-43.726955
44,18:16:36:835,96,576,1152,24.52113,35.779865,-30.580904
45,18:16:36:928,1184,1184,896,37.465359,45.686829,-20.266388
46,18:16:37:017,-1056,-672,2816,25.116076,39.407772,11.530937
47,18:16:37:153,768,1120,-2368,33.59166,48.913242,-16.329136
48,18:16:37:241,-160,-1280,288,31.375807,37.077137,-12.641639
49,18:16:37:378,960,1248,-224,41.924793,48.048683,-15.187183
50,18:16:37:464,480,-704,192,46.935688,41.133904,-12.711273
51,18:16:37:711,2208,-576,-1664,71.587006,35.427521,-32.291176
52,18:16:37:870,-928,-352,480,59.831757,31.834555,-26.092081
53,18:16:38:094,-320,-352,192,55.329597,28.280542,-23.458168
56,18:16:38:187,992,-128,832,66.384293,26.835875,-13.206034
57,18:16:38:283,-2880,-992,2176,31.380144,17.475058,13.157762
58,18:16:38:369,-864,192,512,20.2558,19.096027,19.350321
59,18:16:38:464,-1184,224,-1760,5.216206,20.988163,-2.682426
60,18:16:38:546,448,128,-608,10.807674,21.971272,-10.346213
61,18:16:38:642,-992,-1024,544,-1.807202,12.429306,-3.332667
62,18:16:38:725,-1088,-160,-768,-15.568487,10.838217,-12.990891
63,18:16:38:863,384,-512,-992,-10.462365,6.041511,-25.386536
64,18:16:38:952,-1088,-384,-64,-24.16584,2.458922,-25.878656
65,18:16:39:050,2048,-2048,-1536,2.409383,-16.347673,-44.897148
68,18:16:40:053,-864,864,2624,-23.285101,-8.83284,0.525643
69,18:16:41:131,-2848,3488,1024,-60.952705,24.243483,14.207317
70,18:16:41:355,-1248,-1472,1248,-77.443924,9.252521,30.8116
71,18:16:41:427,224,-992,-1248,-73.216766,-0.973765,13.416658
72,18:16:41:559,1664,416,-1248,-49.049809,3.325485,-3.938405
73,18:16:41:700,96,1856,-704,-46.991497,22.388786,-13.675768
74,18:16:41:831,-1152,2272,-864,-62.496815,46.140659,-25.50198
75,18:16:42:122,672,-224,-1344,-52.111633,43.192657,-43.891251
76,18:16:42:191,-1472,-736,832,-72.194481,34.73629,-31.529888
78,18:16:42:368,-1312,-960,544,-89.969666,23.891973,-23.38221
79,18:16:42:711,-1248,-448,960,-106.737747,18.702896,-9.499191
80,18:16:42:822,-448,-640,928,-111.719803,11.471494,3.804861
81,18:16:43:112,1472,-864,-1216,-88.778618,1.840855,-13.578643
82,18:16:43:179,1344,544,-256,-67.681801,7.842139,-17.066763
83,18:16:43:611,-736,960,-1600,-77.653343,18.378185,-39.6273
84,18:16:44:063,1056,480,672,-60.768047,23.525467,-29.315458
85,18:16:44:169,-1408,512,256,-80.981575,28.961283,-25.182983
86,18:16:44:511,1120,-32,-1696,-62.757626,28.28388,-49.171558
87,18:16:44:959,-1216,800,2592,-80.403313,36.775173,-10.556993
88,18:16:45:070,224,608,5536,-75.71167,43.086922,73.524338
89,18:16:45:177,-992,1120,896,-89.703064,54.989201,87.146103
90,18:16:45:248,-928,-3872,-2560,-102.538551,11.147443,43.320919
91,18:16:45:384,-2272,-4032,-608,-135.795181,-36.957073,32.161533
92,18:16:45:611,2368,0,-1472,-96.378494,-36.487843,6.499725
93,18:16:45:991,-512,1280,-2720,-103.137444,-19.970434,-40.587673
94,18:16:46:804,1696,2112,2368,-74.112114,7.133759,2.492989
95,18:16:47:340,-4672,384,8512,-149.695297,12.063883,159.092361
96,18:16:47:455,6336,1024,5536,-35.327797,25.228188,272.442352
97,18:16:47:543,-1152,3168,-192,-57.138702,66.393677,261.846008
98,18:16:47:680,-3488,960,-8064,-124.305862,78.663445,74.441101
99,18:16:47:904,9536,1952,11808,73.652985,104.484352,374.64563
100,18:16:48:043,1536,-2720,-2240,108.555656,64.664215,294.580231
101,18:16:48:220,-3008,2048,8128,33.831173,93.77166,539.118286
102,18:16:48:312,-2912,960,4544,-39.338703,106.79007,678.687195
103,18:16:48:539,1792,4800,2912,7.594458,177.464981,759.701965
104,18:16:48:633,-32,-160,3456,6.569796,171.996185,858.149841
105,18:16:48:855,1792,-4800,-384,51.644032,92.180756,812.121643
106,18:16:48:942,-2368,-5696,-3584,-10.010491,-8.204866,651.283203
107,18:16:49:038,1952,7328,3456,41.038757,131.0625,758.646545
110,18:16:49:257,1280,-1088,-2080,97.792648,119.24958,414.08902
111,18:16:49:348,5440,-2464,-7680,237.034592,64.494591,73.495308
112,18:16:49:440,320,-2784,-5280,239.360977,2.382588,-176.043213
113,18:16:49:532,-2880,256,4064,154.141296,8.096139,32.019203
114,18:16:49:624,-8704,-320,-3552,-95.705757,0.831709,-149.123001
115,18:16:49:713,2336,-704,1248,-17.562078,-14.534043,-77.336823
116,18:16:49:844,2816,8512,8000,74.811073,169.892532,327.882599
117,18:16:49:986,2976,2464,-8320,171.420761,226.541077,-148.297562
118,18:16:50:071,4160,288,1504,307.164734,228.088364,-48.05526
119,18:16:50:160,3424,2752,5248,417.642487,290.14386,264.290161
120,18:16:50:247,-4832,-1376,-864,227.14035,248.193954,195.204697
121,18:16:50:339,960,3584,288,255.394089,332.780426,200.67244
122,18:16:50:524,576,-832,256,267.463348,302.104187,203.756485
123,18:16:50:992,160,-1120,6624,263.540558,264.784241,543.090515
124,18:16:51:063,2400,1984,-2272,338.938416,309.965057,384.646881
125,18:16:51:195,-15424,14624,8032,-220.533813,688.773438,813.787903
126,18:16:51:292,10208,6304,3968,244.581787,873.625,1005.461487
127,18:16:51:422,-5088,6176,1440,-28.156908,1060.922363,1031.829712
128,18:16:51:597,-1152,8608,8288,-88.359474,1344.694336,1450.350586
129,18:16:51:731,-3072,-1152,3744,-243.294815,1241.130005,1592.456421
130,18:16:51:998,320,2048,1760,-213.91507,1274.804077,1602.652344
131,18:16:52:267,4096,2912,-4416,2.020049,1341.409302,1256.307129
132,18:16:52:449,-1408,2112,128,-70.753761,1372.47998,1187.968628
134,18:16:52:857,640,320,-1696,-34.936646,1331.084229,1019.769958
135,18:16:53:035,-832,-352,-64,-73.693314,1266.101929,956.800903
136,18:16:53:261,1344,-608,-352,-6.956783,1194.179321,883.462341
137,18:16:53:394,512,-32,0,17.005295,1147.227661,835.424011
138,18:16:53:532,-736,96,-32,-16.558653,1107.5448,789.941223
139,18:16:53:665,128,928,992,-10.301267,1100.88147,800.174011
140,18:16:53:763,320,-480,448,3.440968,1044.114868,783.133423
141,18:16:53:935,-320,-640,448,-9.560248,983.957764,767.561951
142,18:16:54:069,96,160,-224,-5.455697,954.617737,723.25415
143,18:16:54:159,32,0,-32,-4.050951,921.271851,690.336548
144,18:16:54:296,96,256,-160,-0.431648,898.403564,654.30896
145,18:16:54:563,32,-32,0,0.702781,867.086792,627.279968
146,18:16:54:655,-512,928,0,-16.635845,869.106018,602.082886
147,18:16:54:789,-736,256,160,-40.40089,849.411011,584.804932
148,18:16:54:880,192,-128,64,-32.865318,818.629211,565.049255
150,18:16:55:153,-320,-192,32,-38.701008,759.032898,515.411682
151,18:16:55:237,0,-96,96,-37.543964,733.060181,500.623688
152,18:16:55:376,512,288,-1248,-21.579222,719.721802,440.586517
153,18:16:55:511,864,480,-1216,3.688295,712.686157,383.740234
154,18:16:55:598,512,0,192,18.031916,692.271179,377.175354
155,18:16:55:689,-160,800,96,13.097758,695.312683,367.83255
156,18:16:55:784,-416,256,384,1.485932,683.224792,368.355316
157,18:16:55:916,-128,64,-64,-1.954268,666.501038,354.809113
158,18:16:56:004,224,352,64,3.908301,658.130798,345.900482
159,18:16:56:093,-352,-256,256,-5.132142,634.287354,343.213257
160,18:16:56:188,320,-352,-416,2.977872,608.769287,321.139679
161,18:16:56:273,192,-64,-320,7.607226,591.475708,302.758484
162,18:16:56:413,-224,288,-32,2.050087,583.77063,293.312347
163,18:16:56:546,224,-96,160,7.27425,566.839294,289.629974
164,18:16:56:634,-192,128,-32,2.671807,556.033142,280.96225
165,18:16:56:815,-864,192,96,-16.9692,547.209595,276.078033
166,18:16:56:993,-928,96,-32,-37.500023,536.455933,268.123505
167,18:16:57:086,-288,0,128,-43.119164,523.858154,264.575409
168,18:16:57:221,96,-320,96,-40.051994,504.293335,260.40094
169,18:16:57:359,-32,-64,-96,-39.877827,491.203705,251.760223
170,18:16:57:443,-160,-256,224,-42.421482,474.193817,251.098557
171,18:16:57:579,-512,0,-64,-52.181786,463.485046,243.758987
172,18:16:57:668,-352,288,160,-58.342846,459.573639,241.840668
173,18:16:57:762,-64,288,256,-58.457424,455.819946,242.158218
174,18:16:57:850,-288,192,-64,-63.014755,450.152679,235.440826
175,18:16:57:939,320,-192,-96,-55.524868,436.578613,228.282211
176,18:16:58:076,-576,-96,256,-65.582581,425.415192,228.872025
177,18:16:58:213,192,-224,-128,-60.649532,411.943146,221.432327
178,18:16:58:298,128,-192,-128,-57.086617,399.512878,214.246613
179,18:16:58:391,-32,416,-96,-56.619881,399.849304,207.952454
180,18:16:58:572,-32,96,0,-56.169975,393.771179,203.792343
181,18:16:58:661,128,32,-64,-52.863228,386.634033,198.518784
182,18:16:58:799,0,32,-288,-51.927444,379.724396,189.073593
183,18:16:58:884,-416,-32,128,-58.266735,371.800964,187.899399
184,18:16:58:978,-96,384,288,-58.91713,372.033142,189.789871
185,18:16:59:063,-32,32,32,-58.460693,365.68045,186.859375
186,18:16:59:154,896,1824,-544,-42.537224,392.604492,173.491959
187,18:16:59:244,-480,-128,-96,-49.850487,382.897003,168.582016
188,18:16:59:333,-64,-352,384,-50.085144,369.307068,172.45694
189,18:16:59:425,224,-160,-64,-45.61261,359.558044,168.261032
190,18:16:59:514,128,-224,32,-42.810043,348.894501,165.874222
192,18:16:59:738,-384,64,160,-46.498863,339.282257,164.588806
193,18:16:59:829,-128,256,96,-47.769016,337.80835,163.442749
194,18:16:59:921,640,-224,-288,-37.198044,328.022583,156.013489
195,18:17:00:057,-128,-160,-96,-38.591156,319.575317,151.897095
196,18:17:00:145,0,160,-64,-38.006981,316.834167,148.410095
197,18:17:00:236,32,0,32,-36.962257,311.466766,146.551956
198,18:17:00:324,-128,64,0,-38.302696,307.318634,144.244156
199,18:17:00:504,192,0,32,-34.954933,302.227539,142.498993
200,18:17:00:595,-512,160,160,-41.821106,299.895752,142.767517
201,18:17:00:730,-320,32,0,-45.805279,295.562408,140.609299
202,18:17:00:822,-384,192,512,-50.606815,293.905212,146.155563
203,18:17:00:954,32,0,-32,-49.442707,289.266815,143.514984
204,18:17:01:228,32,-32,-320,-48.309109,284.24649,136.721466
205,18:17:01:314,-864,-128,608,-59.524811,277.863434,143.591187
206,18:17:01:452,1184,-544,-576,-42.386967,265.230347,133.15654
207,18:17:01:632,512,-512,480,-34.66563,253.273758,138.184479
208,18:17:01:901,576,64,-1024,-26.185575,250.362274,121.464348
209,18:17:02:086,-192,256,-640,-28.483986,250.447998,110.41729
210,18:17:02:174,544,160,576,-20.631481,249.093109,117.175133
211,18:17:02:307,-352,-64,224,-25.165848,244.464035,118.717514
212,18:17:02:395,-96,-128,256,-26.128292,239.003906,120.67556
214,18:17:02:488,-256,0,-64,-29.214064,235.525513,118.071556
215,18:17:02:619,288,-96,256,-24.993164,230.747391,119.996346
216,18:17:02:710,64,-512,-1216,-23.817242,220.125641,101.559097
217,18:17:02:845,-192,640,928,-26.014418,226.132126,113.105431
218,18:17:02:936,-96,-768,-832,-26.919931,211.995132,99.870926
219,18:17:03:023,224,288,-96,-23.710428,213.08168,97.11557
220,18:17:03:117,-640,-384,-352,-31.532362,204.653595,90.861351
221,18:17:03:343,-352,288,-320,-35.597633,205.827347,85.168442
222,18:17:03:518,-64,-32,-320,-35.955669,202.519135,79.586266
223,18:17:03:609,160,704,224,-33.514874,209.431366,81.56456
224,18:17:03:699,-128,-320,-32,-34.681786,202.16188,80.025513
225,18:17:03:790,32,-192,704,-33.866779,196.767303,88.38736
226,18:17:03:878,416,352,384,-28.427589,198.879471,92.344589
227,18:17:04:024,32,-192,608,-27.699291,193.616333,99.195984
228,18:17:04:104,-704,-480,64,-35.762897,184.597641,98.729774
229,18:17:04:196,192,192,0,-33.043388,184.696732,97.438202
230,18:17:04:283,224,192,544,-29.996828,184.793228,103.215889
231,18:17:04:373,320,-64,192,-25.876316,181.548508,104.359917
232,18:17:04:463,64,128,-384,-24.82328,180.855743,98.136314
234,18:17:04:689,32,480,-160,-22.417074,179.953445,93.660461
235,18:17:04:827,64,0,-352,-21.433254,177.680161,88.100075
236,18:17:04:914,-480,-160,-64,-26.603889,173.452606,86.209251
237,18:17:05:049,32,192,-256,-25.944536,173.683472,81.994705
238,18:17:05:186,-160,0,-96,-27.437746,171.547409,79.814606
239,18:17:05:274,-288,256,-128,-30.315722,172.57695,77.291222
240,18:17:05:411,-32,128,0,-30.334217,172.039169,76.360168
241,18:17:05:500,64,-128,-32,-29.309561,168.459457,75.06842
242,18:17:05:725,352,-64,32,-25.204639,165.702484,74.559967
243,18:17:05:816,-32,32,-64,-25.277561,164.128159,72.941887
244,18:17:05:903,-128,192,-192,-26.36832,164.453384,69.875275
245,18:17:05:996,64,0,-160,-25.416895,162.555527,67.231216
246,18:17:06:088,-64,-64,288,-25.819597,159.962418,69.753067
247,18:17:06:175,224,0,-96,-23.237131,158.144135,67.872879
248,18:17:06:264,288,-192,32,-20.036943,154.196335,67.469208
249,18:17:06:354,64,96,0,-19.176388,153.543015,66.717903
250,18:17:06:444,288,-576,864,-16.057541,145.43457,75.510017
251,18:17:06:534,-96,128,-160,-16.865948,145.240158,72.900726
252,18:17:06:623,256,160,-192,-14.129932,145.402985,69.984444
253,18:17:06:714,-32,64,64,-14.308294,144.514511,69.918938
254,18:17:06:805,448,-224,64,-9.737954,140.529388,69.854843
255,18:17:06:893,-64,64,-192,-10.273995,139.704681,67.049294
256,18:17:06:982,-96,-32,-224,-11.113479,137.871292,63.948017
257,18:17:07:073,96,-352,-64,-10.072964,132.678329,62.59127
258,18:17:07:163,-64,0,96,-10.592879,131.273117,62.942703
259,18:17:07:255,-224,-288,288,-12.632887,126.867523,65.287025
260,18:17:07:435,-576,-32,416,-17.989799,125.201843,68.918694
261,18:17:07:524,160,-128,-128,-16.294573,122.566383,66.886467
