Timestamp,Mode,Data,X,Y,Z
18:53:24:751,RX,187888,7.016,0.871,-2.113
18:53:24:841,RX,187977,7.016,0.871,-2.113
18:53:24:930,RX,188067,7.016,0.871,-2.113
18:53:25:023,RX,188157,7.016,0.871,-2.113
18:53:25:113,RX,188247,7.016,0.871,-2.113
18:53:25:201,RX,188337,7.016,0.871,-2.113
18:53:25:292,RX,188427,7.016,0.871,-2.113
18:53:25:383,RX,188517,7.016,0.871,-2.113
18:53:25:471,RX,188607,7.016,0.871,-2.113
18:53:25:559,RX,188697,7.016,0.871,-2.113
18:53:25:652,RX,188787,7.016,0.871,-2.113
18:53:25:792,RX,188877,7.016,0.871,-2.113
18:53:25:875,RX,189012,7.016,0.871,-2.113
18:53:25:967,RX,189102,7.016,0.871,-2.113
18:53:26:054,RX,189192,7.016,0.871,-2.113
18:53:26:150,RX,189282,7.016,0.871,-2.113
18:53:26:238,RX,189372,7.016,0.871,-2.113
18:53:26:327,RX,189462,7.016,0.871,-2.113
18:53:26:416,RX,189552,7.016,0.871,-2.113
18:53:26:508,RX,189642,7.016,0.871,-2.113
18:53:26:596,RX,189732,7.016,0.871,-2.113
18:53:26:689,RX,189822,7.016,0.871,-2.113
18:53:26:775,RX,189912,7.016,0.871,-2.113
18:53:26:865,RX,190002,7.016,0.871,-2.113
18:53:27:008,RX,190092,7.016,0.871,-2.113
18:53:27:091,RX,190227,7.016,0.871,-2.113
18:53:27:179,RX,190317,7.016,0.871,-2.113
18:53:27:271,RX,190407,7.016,0.871,-2.113
18:53:27:363,RX,190497,7.016,0.871,-2.113
18:53:27:457,RX,190587,7.016,0.871,-2.113
18:53:27:542,RX,190677,7.016,0.871,-2.113
18:53:27:630,RX,190767,7.016,0.871,-2.113
18:53:27:726,RX,190857,7.016,0.871,-2.113
18:53:27:811,RX,190947,7.016,0.871,-2.113
18:53:27:900,RX,191037,7.016,0.871,-2.113
18:53:27:991,RX,191127,7.016,0.871,-2.113
18:53:28:124,RX,191217,7.016,0.871,-2.113
18:53:28:217,RX,191352,7.016,0.871,-2.113
18:53:28:305,RX,191442,7.016,0.871,-2.113
18:53:28:398,RX,191532,7.016,0.871,-2.113
18:53:28:485,RX,191622,7.016,0.871,-2.113
18:53:28:577,RX,191712,7.016,0.871,-2.113
18:53:28:668,RX,191802,7.016,0.871,-2.113
18:53:28:758,RX,191892,-6.969,0.584,-40.178
18:53:28:847,RX,191982,-6.969,0.584,-40.178
18:53:28:938,RX,192072,-6.969,0.584,-40.178
18:53:29:027,RX,192162,-6.969,0.584,-40.178
18:53:29:116,RX,192252,-6.969,0.584,-40.178
18:53:29:209,RX,192342,-6.969,0.584,-40.178
18:53:29:297,RX,192432,-6.969,0.584,-40.178
18:53:29:385,RX,192522,-6.969,0.584,-40.178
18:53:29:479,RX,192612,-6.969,0.584,-40.178
18:53:29:570,RX,192702,-6.969,0.584,-40.178
18:53:29:659,RX,192792,-6.969,0.584,-40.178
18:53:29:748,RX,192882,-6.969,0.584,-40.178
18:53:29:974,RX,193062,-6.969,0.584,-40.178
18:53:30:063,RX,193197,-6.969,0.584,-40.178
18:53:30:150,RX,193287,-6.969,0.584,-40.178
18:53:30:246,RX,193377,-6.969,0.584,-40.178
18:53:30:379,RX,193467,-6.969,0.584,-40.178
18:53:30:469,RX,193602,-6.969,0.584,-40.178
18:53:30:558,RX,193692,-6.969,0.584,-40.178
18:53:30:648,RX,193782,-6.969,0.584,-40.178
18:53:30:782,RX,193872,-6.969,0.584,-40.178
18:53:30:874,RX,194008,-6.969,0.584,-40.178
18:53:30:960,RX,194097,-6.969,0.584,-40.178
18:53:31:055,RX,194187,-6.969,0.584,-40.178
18:53:31:234,RX,194277,-6.969,0.584,-40.178
18:53:31:322,RX,194457,-6.969,0.584,-40.178
18:53:31:413,RX,194547,-6.969,0.584,-40.178
18:53:31:503,RX,194637,-6.969,0.584,-40.178
18:53:31:590,RX,194727,-6.969,0.584,-40.178
18:53:31:684,RX,194817,-6.969,0.584,-40.178
18:53:31:817,RX,194907,-6.969,0.584,-40.178
18:53:31:952,RX,195087,-6.969,0.584,-40.178
18:53:32:089,RX,195222,-6.969,0.584,-40.178
18:53:32:175,RX,195312,-6.969,0.584,-40.178
18:53:32:268,RX,195402,-6.969,0.584,-40.178
18:53:32:355,RX,195492,-6.969,0.584,-40.178
18:53:32:448,RX,195582,-6.969,0.584,-40.178
18:53:32:538,RX,195672,-6.969,0.584,-40.178
18:53:32:626,RX,195762,-6.969,0.584,-40.178
18:53:32:718,RX,195852,-6.969,0.584,-40.178
18:53:32:809,RX,195942,-6.969,0.584,-40.178
18:53:32:899,RX,196032,-6.969,0.584,-40.178
18:53:33:032,RX,196122,-6.969,0.584,-40.178
18:53:33:215,RX,196302,-6.969,0.584,-40.178
18:53:33:302,RX,196437,-6.969,0.584,-40.178
18:53:33:392,RX,196527,-6.969,0.584,-40.178
18:53:33:483,RX,196617,-6.969,0.584,-40.178
18:53:33:573,RX,196707,-6.969,0.584,-40.178
18:53:33:660,RX,196797,-6.969,0.584,-40.178
18:53:33:753,RX,196889,-0.521,0.013,3.573
18:53:33:839,RX,196977,-0.521,0.013,3.573
18:53:33:979,RX,197067,-0.521,0.013,3.573
18:53:34:066,RX,197202,-0.521,0.013,3.573
18:53:34:244,RX,197292,-0.521,0.013,3.573
18:53:34:338,RX,197472,-0.521,0.013,3.573
18:53:34:426,RX,197562,-0.521,0.013,3.573
18:53:34:517,RX,197652,-0.521,0.013,3.573
18:53:34:605,RX,197742,-0.521,0.013,3.573
18:53:34:698,RX,197832,-0.521,0.013,3.573
18:53:34:786,RX,197922,-0.521,0.013,3.573
18:53:34:875,RX,198013,-0.521,0.013,3.573
18:53:35:059,RX,198102,-0.521,0.013,3.573
18:53:35:147,RX,198282,-0.521,0.013,3.573
18:53:35:235,RX,198372,-0.521,0.013,3.573
18:53:35:327,RX,198462,-0.521,0.013,3.573
18:53:35:417,RX,198552,-0.521,0.013,3.573
18:53:35:507,RX,198642,-0.521,0.013,3.573
18:53:35:610,RX,198732,-0.521,0.013,3.573
18:53:35:731,RX,198822,-0.521,0.013,3.573
18:53:35:821,RX,198957,-0.521,0.013,3.573
18:53:35:912,RX,199047,-0.521,0.013,3.573
18:53:36:046,RX,199137,-0.521,0.013,3.573
18:53:36:182,RX,199272,-0.521,0.013,3.573
18:53:36:270,RX,199407,-0.521,0.013,3.573
18:53:36:361,RX,199497,-0.521,0.013,3.573
18:53:36:450,RX,199587,-0.521,0.013,3.573
18:53:36:543,RX,199677,-0.521,0.013,3.573
18:53:36:634,RX,199767,-0.521,0.013,3.573
18:53:36:721,RX,199857,-0.521,0.013,3.573
18:53:36:812,RX,199947,-0.521,0.013,3.573
18:53:36:901,RX,200037,-0.521,0.013,3.573
18:53:37:039,RX,200127,-0.521,0.013,3.573
18:53:37:124,RX,200262,-0.521,0.013,3.573
18:53:37:266,RX,200352,-0.521,0.013,3.573
18:53:37:355,RX,200487,-0.521,0.013,3.573
18:53:37:486,RX,200577,-0.521,0.013,3.573
18:53:37:578,RX,200712,-0.521,0.013,3.573
18:53:37:710,RX,200802,-0.521,0.013,3.573
18:53:37:800,RX,200937,-0.521,0.013,3.573
18:53:38:034,RX,201027,-0.521,0.013,3.573
18:53:38:120,RX,201252,-0.521,0.013,3.573
18:53:38:206,RX,201342,-0.521,0.013,3.573
18:53:38:433,RX,201432,-0.521,0.013,3.573
18:53:38:522,RX,201657,-0.521,0.013,3.573
18:53:38:657,RX,201747,-0.521,0.013,3.573
18:53:38:745,RX,201882,-0.521,0.013,3.573
18:53:38:970,RX,201972,-4.846,3.138,7.41
18:53:39:071,RX,202197,-4.846,3.138,7.41
18:53:39:149,RX,202287,-4.846,3.138,7.41
18:53:39:330,RX,202377,-4.846,3.138,7.41
18:53:39:466,RX,202602,-4.846,3.138,7.41
18:53:39:645,RX,202692,-4.846,3.138,7.41
18:53:39:735,RX,202872,-4.846,3.138,7.41
18:53:39:870,RX,202962,-4.846,3.138,7.41
18:53:40:098,RX,203097,-4.846,3.138,7.41
18:53:40:233,RX,203367,-4.846,3.138,7.41
18:53:40:319,RX,203457,-4.846,3.138,7.41
18:53:40:589,RX,203592,-4.846,3.138,7.41
18:53:40:680,RX,203817,-4.846,3.138,7.41
18:53:40:860,RX,203907,-4.846,3.138,7.41
18:53:40:949,RX,204087,-4.846,3.138,7.41
18:53:41:086,RX,204177,-4.846,3.138,7.41
18:53:41:176,RX,204312,-4.846,3.138,7.41
18:53:41:446,RX,204402,-4.846,3.138,7.41
18:53:41:536,RX,204672,-4.846,3.138,7.41
18:53:41:670,RX,204762,-4.846,3.138,7.41
18:53:41:850,RX,204897,-4.846,3.138,7.41
18:53:41:939,RX,205077,-4.846,3.138,7.41
18:53:42:030,RX,205167,-4.846,3.138,7.41
18:53:42:120,RX,205257,-4.846,3.138,7.41
18:53:42:209,RX,205347,-4.846,3.138,7.41
18:53:42:301,RX,205437,-4.846,3.138,7.41
18:53:42:391,RX,205527,-4.846,3.138,7.41
18:53:42:483,RX,205617,-4.846,3.138,7.41
18:53:42:706,RX,205707,-4.846,3.138,7.41
18:53:42:799,RX,205932,-4.846,3.138,7.41
18:53:42:934,RX,206022,-4.846,3.138,7.41
18:53:43:156,RX,206157,-4.846,3.138,7.41
18:53:43:380,RX,206382,-4.846,3.138,7.41
18:53:43:476,RX,206607,-4.846,3.138,7.41
18:53:43:741,RX,206697,-4.846,3.138,7.41
18:53:43:876,RX,206922,-6.047,15.934,7.012
18:53:43:964,RX,207102,-6.047,15.934,7.012
18:53:44:054,RX,207192,-6.047,15.934,7.012
18:53:44:150,RX,207282,-6.047,15.934,7.012
18:53:44:234,RX,207372,-6.047,15.934,7.012
18:53:44:325,RX,207462,-6.047,15.934,7.012
18:53:44:460,RX,207552,-6.047,15.934,7.012
18:53:44:551,RX,207687,-6.047,15.934,7.012
18:53:44:644,RX,207777,-6.047,15.934,7.012
18:53:44:732,RX,207867,-6.047,15.934,7.012
18:53:44:823,RX,207957,-6.047,15.934,7.012
18:53:44:913,RX,208047,-6.047,15.934,7.012
18:53:45:092,RX,208137,-6.047,15.934,7.012
18:53:45:183,RX,208317,-6.047,15.934,7.012
18:53:45:270,RX,208407,-6.047,15.934,7.012
18:53:45:359,RX,208497,-6.047,15.934,7.012
18:53:45:449,RX,208587,-6.047,15.934,7.012
18:53:45:539,RX,208677,-6.047,15.934,7.012
18:53:45:629,RX,208767,-6.047,15.934,7.012
18:53:45:765,RX,208857,-6.047,15.934,7.012
18:53:45:993,RX,208992,-6.047,15.934,7.012
18:53:46:080,RX,209217,-6.047,15.934,7.012
18:53:46:169,RX,209307,-6.047,15.934,7.012
18:53:46:261,RX,209397,-6.047,15.934,7.012
18:53:46:350,RX,209487,-6.047,15.934,7.012
18:53:46:442,RX,209577,-6.047,15.934,7.012
18:53:46:531,RX,209667,-6.047,15.934,7.012
